cpdName,cpdID,growthExp,growthPred,comments
L-Arabinose,cpd00224,1,,
N-Acetyl-D-Glucosamine,cpd00122,1,,
D-Saccharic acid,cpd00571,0,,
Succinic acid,cpd00036,1,,
D-Galactose,cpd00108,1,,
L-Asparagine,cpd00132,1,,"No growth according to Biolog data, but (weak) growth on asparagine has been reported in a previous study (DOI: 10.1093/femsle/fnx045)"
L-Proline,cpd00129,1,,
D-Alanine,cpd00117,1,,"No growth according to Biolog data, but growth on alanine has been reported in a previous study (DOI: 10.1093/femsle/fnx045)"
D-Trehalose,cpd00794,1,,
D-Mannose,cpd00138,1,,
Dulcitol,cpd01171,1,,
D-Serine,cpd00550,0,,
D-Sorbitol,cpd00588,1,,
Glycerol,cpd00100,1,,
L-Fucose,cpd00751,1,,
D-Glucuronic acid,cpd00164,0,,
D-Gluconic acid,cpd00222,0,,
DL-a-Glycerol Phosphate,cpd16494,0,,
D-Xylose,cpd00154,1,,
L-Lactic acid,cpd00159,1,,
Formic acid,cpd00047,1,,
D-Mannitol,cpd00314,1,,
L-Glutamic acid,cpd00023,1,,
Methylpyruvate,cpd24420,1,,
D-Galactonic acid-g-Lactone,cpd02143,1,,
DL-Malic acid,cpd00130,1,,
L-Aspartic acid,cpd00041,0,,
Tween 20,cpd13391,0,,
L-Rhamnose,cpd00396,1,,
D-Fructose,cpd00082,1,,
Acetic acid,cpd00029,1,,"No growth according to Biolog data, but growth on acetate has been reported in a previous study (DOI: 10.1128/JB.00165-09)"
a-D-Glucose,cpd00027,1,,
Maltose,cpd00179,1,,
D-Melibiose,cpd03198,1,,
D-Glucose-6-Phosphate,cpd00079,0,,
D-Ribose,cpd00105,1,,"No growth according to Biolog data, but growth on ribose has been reported in a previous study (DOI: 10.1099/00221287-132-10-2733)"
D-Aspartic acid,cpd00320,0,,
D-Glucosaminic acid,cpd02351,1,,
"1,2-Propanediol",cpd00453,0,,
Tween 40,cpd24417,0,,
Thymidine,cpd00184,0,,
a-Ketobutyric acid,cpd00094,0,,
a-Methyl-D-Galactoside,cpd24416,1,,
a-D-Lactose,cpd00208,1,,
Lactulose,cpd04349,1,,
Sucrose,cpd00076,1,,
Uridine,cpd00249,1,,
L-Glutamine,cpd00053,1,,
m-Tartaric acid,cpd00432,0,,
a-Ketoglutaric acid,cpd00024,0,,
D-Glucose-1-Phosphate,cpd00089,0,,
Tween 80,cpd13392,0,,
a-Hydroxyglutaric acid-g-Lactone,cpd23862,0,,
a-Hydroxybutyric acid,cpd03561,0,,
b-Methyl-D-Glucoside,cpd11603,1,,
Adonitol,cpd00366,1,,
Maltotriose,cpd01262,1,,
D-Fructose-6-Phosphate,cpd00072,0,,
2`-Deoxyadenosine,cpd00115,0,,
Adenosine,cpd00182,0,,
Citric acid,cpd00137,0,,
m-Inositol,cpd00121,1,,
D-Threonine,cpd00611,0,,
Fumaric acid,cpd00106,1,,
Bromosuccinic acid,cpd23859,0,,
Propionic acid,cpd00141,0,,
Mucic acid,cpd00652,0,,
Gly-Asp,cpd11589,0,,
Glycolic acid,cpd00139,0,,
D-Cellobiose,cpd00158,1,,
Glyoxylic acid,cpd00040,0,,
Inosine,cpd00246,0,,
Tricarballylic acid,cpd16654,0,,
L-Serine,cpd00054,1,,
Gly-Glu,cpd11592,0,,
L-Alanine,cpd00035,1,,"No growth according to Biolog data, but growth on alanine has been reported in a previous study (DOI: 10.1093/femsle/fnx045)"
L-Threonine,cpd00161,0,,
Acetoacetic acid,cpd00142,1,,"No growth according to Biolog data, but growth on acetoacetate has been reported in a previous study (DOI: 10.1128/JB.00165-09)"
N-Acetyl-D-Mannosamine,cpd00492,0,,
Mono-Methylsuccinate,cpd24419,0,,
Ala-Gly,cpd11585,0,,
D-Malic acid,cpd00386,1,,
L-Malic acid,cpd00130,1,,
Gly-Pro,cpd11588,0,,
p-Hydroxyphenyl Acetic acid,cpd00489,0,,
m-Hydroxyphenyl Acetic acid,cpd03320,0,,
Tyramine,cpd00374,0,,
D-Psicose,cpd03884,1,,
L-Lyxose,cpd01067,0,,
Glucuronamide,cpd26269,0,,
Pyruvic acid,cpd00020,1,,
L-Galactonic acid-g-Lactone,cpd00820,0,,
D-Galacturonic acid,cpd00280,0,,
Phenylethylamine,cpd03161,0,,
2-Aminoethanol,cpd00162,0,,
Chondroitin Sulfate C,cpd11717,0,,
a-Cyclodextrin,cpd24451,0,,
b-Cyclodextrin,cpd09394,0,,
g-Cyclodextrin,cpd24452,0,,
Dextrin,cpd11594,0,,
Gelatin,cpd11879,0,,
Glycogen,cpd00155,0,,
Inulin,cpd11602,0,,
Laminarin,cpd11748,0,,
Mannan,cpd11685,0,,
Pectin,cpd11601,0,,
N-Acetyl-D-Galactosamine,cpd00832,1,,
N-Acetyl-Neuraminic acid,cpd00232,0,,
b-D-Allose,cpd01055,0,,
Amygdalin,cpd01356,0,,
D-Arabinose,cpd00185,1,,
D-Arabitol,cpd01307,1,,
L-Arabitol,cpd00417,1,,
Arbutin,cpd03696,1,,
2-Deoxy-D-Ribose,cpd00509,0,,
i-Erythritol,cpd00392,1,,
D-Fucose,cpd00750,0,,
3-O-b-D-Galactopyranosyl-D-Arabinose,cpd24453,1,,
Gentiobiose,cpd05158,1,,
L-Glucose,cpd24421,0,,
D-Lactitol,cpd26505,1,,
D-Melezitose,cpd05161,0,,
Maltitol,cpd37280,0,,
a-Methyl-D-Glucoside,cpd15584,0,,
b-Methyl-D-Galactoside,cpd02274,1,,
3-Methylglucose,cpd26351,0,,
b-Methyl-D-Glucuronic acid,cpd24423,0,,
a-Methyl-D-Mannoside,cpd24424,0,,
b-Methyl-D-Xyloside,cpd24425,1,,
Palatinose,cpd01200,1,,
D-Raffinose,cpd00382,1,,
Salicin,cpd01030,1,,
Sedoheptulosan,cpd24426,0,,
L-Sorbose,cpd00212,0,,
Stachyose,cpd01133,1,,
D-Tagatose,cpd00589,1,,
Turanose,cpd20885,1,,
Xylitol,cpd00306,1,,
N-Acetyl-D-Glucosaminitol,cpd24427,0,,
g-Amino-N-Butyric acid,cpd00281,1,,
d-Amino Valeric acid,cpd00339,0,,
Butyric acid,cpd00211,0,,
Capric acid,cpd01107,0,,
Caproic acid,cpd01113,0,,
Citraconic acid,cpd01502,0,,
Citramalic acid,cpd00607,0,,
D-Glucosamine,cpd00276,1,,
2-Hydroxybenzoic acid,cpd00599,0,,
4-Hydroxybenzoic acid,cpd00136,1,,"No growth according to Biolog data, but growth on 4-hydroxybenzoate has been reported in a previous study (DOI: 10.1186/gb-2011-12-10-r106)"
b-Hydroxybutyric acid,cpd00797,1,,
g-Hydroxybutyric acid,cpd00728,0,,
a-Keto-Valeric acid,cpd03737,0,,
Itaconic acid,cpd00380,0,,
5-Keto-D-Gluconic acid,cpd00781,0,,
D-Lactic acid Methyl Ester,cpd24428,0,,
Malonic acid,cpd00308,1,,
Melibionic acid,cpd24454,0,,
Oxalic acid,cpd00180,0,,
Oxalomalic acid,cpd01363,0,,
Quinic acid,cpd00248,1,,
"D-Ribono-1,4-Lactone",cpd23861,0,,
Sebacic acid,cpd05192,0,,
Sorbic acid,cpd16648,0,,
Succinamic acid,cpd25518,1,,
D-Tartaric acid,cpd19018,0,,
L-Tartaric acid,cpd00666,1,,
Acetamide,cpd03734,0,,
L-Alaninamide,cpd00108,1,,
N-Acetyl-L-Glutamic acid,cpd00477,0,,
L-Arginine,cpd00051,1,,
Glycine,cpd00033,0,,
L-Histidine,cpd00119,1,,
L-Homoserine,cpd00227,1,,
Hydroxy-L-Proline,cpd00851,1,,
L-Isoleucine,cpd00322,1,,
L-Leucine,cpd00107,0,,
L-Lysine,cpd00039,0,,
L-Methionine,cpd00060,0,,
L-Ornithine,cpd00064,1,,
L-Phenylalanine,cpd00066,0,,
L-Pyroglutamic acid,cpd01293,1,,
L-Valine,cpd00156,0,,
"D,L-Carnitine",cpd00266,1,,
sec-Butylamine,cpd24429,0,,
"D,L-Octopamine",cpd02599,0,,
Putrescine,cpd00118,0,,
Dihydroxyacetone,cpd00157,0,,
"2,3-Butanediol",cpd01947,0,,
"2,3-Butanedione",cpd00551,0,,
3-Hydroxy-2-butanone,cpd00361,0,,
