	minimum	maximum
rxn00278	0.23797800873006242	52.3088519516271
rxn00394	0.0008412863379693574	0.0012838583211179223
rxn12192	0.999999999995653	90.56591994569158
rxn00011b	0.17189999999937697	15.568281638664505
rxn00806	-9.01130903459653	-0.0994999999998213
rxn00898	0.17189999999886857	15.568281638664576
rxn00902	0.09949999999939739	9.011309034596476
rxn00903	-6.55697260406775	-0.07239999999979806
rxn01208	0.09950000000005041	9.01130903459644
rxn02185	-15.568281638662764	-0.17189999999955546
rxn02187	0.1719000000012707	15.568281638664585
rxn02789	0.09950000000014825	9.01130903459648
rxn02811	-9.011309034595456	-0.09950000000003456
rxn03062	0.09950000000066589	9.011309034596925
rxn03068	-15.568281638665816	-0.17190000000012282
rxn00011p	103.81503679075858	407.87175344803694
rxn00247	112.5156132790414	430.0496281810058
rxn00330	12.410959852047156	342.04230324901147
rxn01241a	103.81503679075861	407.871753448037
rxn01871	103.8150367907586	407.871753448037
rxn02342	103.8150367907586	407.871753448037
rxn01265	-0.0006417752325337594	-0.0004206431689846789
rxn02287	0.0004206431689846762	0.000612039091848227
rxn02775	0.00042064316898467614	0.0006120390918482271
rxn02897	0.00042064316898467614	0.0006120390918482269
rxn03150	0.00042064316898467614	0.000612039091848227
rxn03491	0.00042064316898467614	0.000612039091848227
rxn03492	0.00042064316898467614	0.000612039091848227
rxn03512	0.0004206431689846761	0.000612039091848227
rxn03513	0.00042064316898467614	0.000612039091848227
rxn03514	0.00042064316898467614	0.000612039091848227
rxn03534	0.00042064316898467614	0.000612039091848227
rxn03537	0.0004206431689846762	0.0006120390918482271
rxn03538	0.00042064316898467614	0.000612039091848227
rxn03540	0.00042064316898467614	0.000612039091848227
rxn03975	0.0006309647534770142	0.0009707150053492595
rxn04384	0.0004206431689846762	0.0006471433368995048
rxn04385	0.0004206431689846762	0.0006471433368995048
rxn10476	0.00042064316898467614	0.0006471433368995048
rxn10609	0.0004206431689846762	0.0006471433368995047
rxn11544	0.00042064316898467614	0.0006471433368995048
rxn11545	0.00042064316898467614	0.0006471433368995048
rxn25134b	0.00042064316898467603	0.0006471433368995045
