reaction	linear_coefficient
rxn01754b	0.057620153653743074
rxn01114	0.057620153653743074
rxn01754a	0.057620153653743074
rxnRbtAb	1.0
rxn01383	1.0
rxnRbtAa	1.0
rxnRbtC	0.10005360014293371
rxn00278	0.0031266750044666785
rxn00283	0.06566017509380025
rxn00849	0.05029480078613543
rxn08291	0.06449883866356977
rxn00151	0.036358763623369664
rxn00225	0.008576022869394318
rxn00227	0.033142755047346796
rxn00551	0.017062712167232447
rxn00669	8.933357155619081e-05
rxn00743	0.06798284795426121
rxn03167	0.06798284795426121
rxn00363	0.011077362872967662
rxn01521	0.011077362872967662
rxn00744	0.016794711452563872
rxn00745	0.016794711452563872
rxn02866	0.015008040021440057
rxn00868	0.015008040021440057
rxn02270	0.015008040021440057
rxn01923	0.015008040021440057
rxn01924	0.015008040021440057
rxn02268	0.015008040021440057
rxn01126	1.0
rxn01281	0.08406289083437556
rxn01280	0.08406289083437556
rxn00160	0.005538681436483831
rxn01285	0.005538681436483831
rxn01986	0.09960693228515276
rxn00778	0.09960693228515276
rxn06036	0.0593174915133107
rxn09174	0.006968018581382884
rxn26434	0.04841879578345542
rxn01289	0.018134715025906734
rxn01150	0.018134715025906734
rxn01633	0.1507950687868501
rxn01635	0.06753618009648026
rxn02173	0.009648025728068608
rxn01828	0.009648025728068608
rxn19174	0.009648025728068608
rxn01959	0.0059853492942647845
rxn01830	0.0059853492942647845
rxn00002	0.0816508844023584
rxn09188	0.04305878149008397
rxn00503	0.04305878149008397
rxn00504	0.04305878149008397
rxn00183	0.04305878149008397
rxn00394	0.021618724316598177
rxn00471	0.029122744327318206
rxn00560	1.0
rxn00930	0.20787922101125603
rxn02071	0.07611220296587458
rxn02946	0.07611220296587458
rxn01636	0.046006789351438274
rxn00192	0.046006789351438274
rxn00469	0.03546542790780775
rxn00802	0.04028944077184206
rxn01019	0.018760050026800073
rxn01434	0.018313382169019118
rxn03087	0.014918706449883867
rxn01637	0.014918706449883867
rxn01917	0.0175093800250134
rxn02465	0.026710737895301054
rxn00656	0.02385206360550295
rxn24212	0.02385206360550295
rxn02925	0.02385206360550295
rxn09400a	0.041361443630516345
rxnTABCcpdBGLCN	0.010541361443630517
rxn13784	0.001876005002680007
rxnBIOMASS	0.0021440057173485795
rxn05294	0.005717348579596212
rxn12192	0.0005360014293371449
rxn00416p	0.01098802930141147
rxn03194	0.012596033589422906
rxn02185	0.012596033589422906
rxn00011b	0.012596033589422906
rxn00737	0.06449883866356977
rxn01575	0.018313382169019118
rxn00903	0.018313382169019118
rxn00806	0.018313382169019118
rxn03437	0.015722708593889585
rxn00898	0.015722708593889585
rxn00902	0.009469358584956226
rxn02187	0.0087546900125067
rxn03068	0.0087546900125067
rxn03436	0.0087546900125067
rxn01790	0.0087546900125067
rxn03435	0.0087546900125067
rxn02789	0.006878685009826693
rxn02811	0.006878685009826693
rxn03062	0.015186707164552438
rxnCL4	0.04028944077184206
rxnCARN2	1.0
rxn01725	1.0
rxnCARN1	0.14114704305878148
rxn00011p	0.0020546721457923886
rxn02342	0.0020546721457923886
rxn00159	0.03930677148472396
rxn00161	0.04386278363408969
rxn00247	0.005628015008040021
rxn00250	0.01759871359656959
rxn00330	0.018492049312131498
rxn00336	0.0816508844023584
rxn00747	0.04502412006432017
rxn00784	0.022244059317491512
rxn01123	0.01759871359656959
rxn01241a	0.008397355726281936
rxn06493	0.003394675719135251
rxn01871	0.008576022869394318
rxn01265	0.03707343219581919
rxn02287	0.01759871359656959
rxn02775	0.21725924602465607
rxn02897	0.07611220296587458
rxn03537	0.07611220296587458
rxn03150	0.04386278363408969
rxn04385	0.04386278363408969
rxn03491	0.09022690727175273
rxn03492	0.041361443630516345
rxn03512	1.0
rxn03513	0.16258710023226727
rxn03514	0.021440057173485797
rxn03534	0.16696444523852064
rxn03538	1.0
rxn03540	0.057620153653743074
rxn03975	0.17160979095944257
rxn04384	0.057620153653743074
rxn10476	0.003841343576916205
rxn11544	0.09022690727175273
rxn11545	0.2102912274432732
rxn25134b	0.05029480078613543
rxn47890	0.03814543505449348
rxn00056	0.006968018581382884
rxn00719	0.007057352152939075
rxn01028	0.017241379310344827
rxn07582	0.00768268715383241
rxnLIPOCT	0.012506700017866714
rxn00423	0.004020010720028586
rxn00566	0.05029480078613543
rxn00623	0.022065392174379132
rxn00649	0.004913346435590495
rxn05239	0.20787922101125603
rxn05239b	0.20787922101125603
rxn05256	0.20787922101125603
rxn00137	0.0175093800250134
rxn09240	0.04502412006432017
rxn00361	0.04502412006432017
rxn00379	0.04502412006432017
rxn00650	0.02197605860282294
rxn00020a	0.06753618009648026
rxn00020s	0.06753618009648026
rxn00020	0.014740039306771485
rxn09979	0.014740039306771485
rxn21111	0.014740039306771485
rxn00020m	0.14114704305878148
rxn00575	0.04502412006432017
rxn05746	0.04502412006432017
rxn00022	0.04502412006432017
rxn00022t	0.04502412006432017
rxn00816	0.08218688583169555
rxn44900	0.08218688583169555
rxn44030	0.08218688583169555
rxn00816c	0.08218688583169555
rxn00816b	0.08218688583169555
rxn02596	0.06449883866356977
rxn00818	0.06449883866356977
rxn00817	0.06449883866356977
rxn01134	0.08218688583169555
rxn01737	0.02197605860282294
rxnPAL1	0.04502412006432017
rxnLACT1	0.04502412006432017
rxnTRE1	0.04502412006432017
rxn01119	0.16258710023226727
rxnEPS	0.007861354296944793
rxnTABCcpsEPS	0.0033053421475790603
rxn00872	0.006253350008933357
rxnFAD17	0.006253350008933357
rxnFAD1	0.006253350008933357
rxnFAD13	0.006253350008933357
rxnFAD9	0.006253350008933357
rxnFAD5	0.006253350008933357
rxnFAD21	0.006253350008933357
rxn00947	0.01313203501876005
rxn03241	0.016616044309451492
rxn03250	0.016616044309451492
rxn03240	0.016616044309451492
rxn03245	0.016616044309451492
rxn02167	0.016616044309451492
rxn03247	0.016616044309451492
rxn02949	0.016616044309451492
rxn02911	0.016616044309451492
rxn02934	0.016616044309451492
rxn01504	0.04386278363408969
rxn00672	0.20787922101125603
rxnFAD11	0.0051813471502590676
rxnFAD7	0.0051813471502590676
rxnFAD23	0.0051813471502590676
rxnFAD3	0.0051813471502590676
rxnFAD27	0.0051813471502590676
rxnFAD19	0.0051813471502590676
rxnFAD15	0.0051813471502590676
rxnFAD12	0.005002680007146686
rxnFAD4	0.005002680007146686
rxnFAD16	0.005002680007146686
rxn00676	0.0025906735751295338
rxnFAD20	0.005002680007146686
rxnFAD24	0.005002680007146686
rxnFAD8	0.005002680007146686
rxn00302	0.002858674289798106
rxn03419	0.002858674289798106
rxn03174	0.002858674289798106
rxn03421	0.002858674289798106
rxn01013	0.015454707879221012
rxn01011	0.015454707879221012
rxn00324	0.07611220296587458
rxn00333	0.026889405038413437
rxn00686	0.025728068608182955
rxn01602	0.025728068608182955
rxn00690	0.0398427729140611
rxn00907	0.019296051456137216
rxn00907b	0.019296051456137216
rxn01211b	0.019296051456137216
rxn01211	0.019296051456137216
rxn00910	0.005270680721815258
rxn01257b	1.0
rxn01603	0.017152045738788636
rxn02201	0.08406289083437556
rxn02503	0.026889405038413437
rxn02504	0.01206003216008576
rxn03841	0.050026800071466856
rxn00083	0.014650705735215293
rxn00371	0.01536537430766482
rxn02617	0.17160979095944257
rxn14044	0.08200821868858317
rxn22386	0.023405395747721994
rxn40431	0.1527604073610863
rxn40432	0.0653028408075755
rxn00508	0.013757370019653386
rxn01204	0.0017866714311238164
rxn00783	0.025460067893514383
rxn00812	0.04064677505806682
rxn02174	0.025638735036626763
rxn02429	0.14114704305878148
rxn00605	0.04028944077184206
rxn02004	0.010630695015186707
rxn00186	0.1623190995175987
rxn00189	0.1623190995175987
rxn00193	0.04841879578345542
rxn00527	0.012685367160979096
rxn05036	0.012685367160979096
rxn05951	0.012685367160979096
rxn02339	0.012685367160979096
rxn00085	0.008218688583169554
rxn00187	0.006164016437377166
rxn00086	0.014650705735215293
rxn00350	0.04386278363408969
rxn00351	0.019206717884581025
rxn00646	0.03180275147400393
rxn00615	0.08218688583169555
rxn00616	0.03930677148472396
rxn00420	0.03707343219581919
rxn00692	0.004288011434697159
rxn01101	0.006789351438270502
rxn03445	0.009648025728068608
rxn02914	0.009648025728068608
rxn01867	0.007772020725388601
rxn01868	0.007772020725388601
rxn10770	0.02170805788815437
rxn00165	0.04305878149008397
rxn00274	0.0593174915133107
rxn00422	0.16258710023226727
rxn00541	0.10005360014293371
rxn06377	0.015097373592996248
rxn00908	0.015097373592996248
rxn01068	0.08200821868858317
rxn01069	0.0398427729140611
rxn01300	0.14114704305878148
rxn01301	0.04064677505806682
rxn01833	0.1527604073610863
rxn01241b	0.003394675719135251
rxn01241c	0.007772020725388601
rxn06600	0.017152045738788636
rxn08647	0.03930677148472396
rxn00695	0.020189387171699123
rxn05740	0.04841879578345542
rxn08615	0.03930677148472396
rxn00148	0.010273360728961943
rxn00459	0.015097373592996248
rxn00558	0.009290691441843845
rxn01331	0.010094693585849562
rxn00781	0.010094693585849562
rxn00786	0.0025906735751295338
rxn01100	0.014025370734321958
rxn01106	0.009380025013400036
rxn01053	0.04386278363408969
rxn00979	0.04386278363408969
rxn01621	0.04386278363408969
rxn01015	0.41397177059138823
rxn00029	0.019296051456137216
rxn00060	0.021618724316598177
rxn00224	0.036358763623369664
rxn00599	0.014561372163659103
rxn02264	0.07611220296587458
rxn02303	0.041986778631409684
rxn02304	0.02403073074861533
rxn05120	0.009380025013400036
rxn00058	0.000982669287118099
rxn12825	0.025728068608182955
rxn00375	0.04028944077184206
rxn00867	0.04502412006432017
rxn01640	0.04502412006432017
rxn01642	0.21725924602465607
rxn02085	0.026532070752188674
rxn00770	0.041986778631409684
rxn00789	0.018134715025906734
rxn00863	0.015990709308558157
rxn02159	0.015990709308558157
rxn02160	0.0408254422011792
rxn00493	0.04386278363408969
rxn02320	0.04386278363408969
rxn02473	0.026532070752188674
rxn02834	0.013400035733428623
rxn02835	0.011524030730748615
rxn03135	0.03287475433267822
rxn03175	0.05770948722529927
rxn00196	0.004734679292478113
rxn02360	0.04064677505806682
rxn00933	0.04064677505806682
rxn02933	0.010362694300518135
rxn06586	0.016616044309451492
rxn01925	0.016616044309451492
rxn06335	0.016616044309451492
rxn07434	0.00982669287118099
rxn07430	0.00982669287118099
rxn07435	0.00982669287118099
rxn07433	0.00982669287118099
rxn07431	0.00982669287118099
rxn07432	0.00982669287118099
rxn00991	1.0
rxn00265	0.046006789351438274
rxn02889	0.09022690727175273
rxn00612	0.0816508844023584
rxn00642	0.012685367160979096
rxn03130	0.021529390745041985
rxn03146	0.021618724316598177
rxn03159	0.05779882079685546
rxn03181	0.03180275147400393
rxn03439	0.016616044309451492
rxn03182	0.016616044309451492
rxn03962	0.021082722887261034
rxn06723	0.013668036448097194
rxn06729	0.05779882079685546
rxnLPS1	0.018760050026800073
rxnLPS2	0.05029480078613543
rxnPG22	0.20787922101125603
rxnLPS3	0.05770948722529927
rxnLPS4	0.007414686439163837
rxnLPS5	0.04841879578345542
rxn02000	0.036358763623369664
rxnLPS6	0.036358763623369664
rxnLPS7	0.16696444523852064
rxnLPS8	0.02403073074861533
rxnVLCFA52	0.021440057173485797
source_cpdLPS2	0.010362694300518135
rxn00313	0.06566017509380025
rxn00337	0.011702697873860997
rxn01643	0.005806682151152403
rxn01644	0.019117384313024836
rxn01973	0.041897445059853496
rxn01974	0.01625871002322673
rxn02929	0.02537073432195819
rxn03031	0.04305878149008397
rxn00693	0.007236019296051456
rxn01304	0.032249419331784886
rxn05957	0.014025370734321958
rxn00748	0.09960693228515276
rxn01274	0.01411470430587815
rxn01834	0.20787922101125603
rxn00559	0.0593174915133107
rxn00772	0.029390745041986778
rxn00975	0.08218688583169555
rxn01044	0.025638735036626763
rxn01199	0.1507950687868501
