reaction	linear_coefficient
rxn01114	0.0001223540927444023
rxn01754a	0.0001223540927444023
rxn01754b	0.0001223540927444023
rxnRbtAb	0.0001223540927444023
rxnRbtAa	0.0001223540927444023
rxn01383	0.0001223540927444023
rxnRbtC	0.0001223540927444023
rxn00278	0.05750642358986908
rxn00283	0.0035482686895876667
rxn00849	0.008197724213874954
rxn08291	0.004404747338798483
rxn00151	0.003670622782332069
rxn00225	0.007341245564664138
rxn00227	0.0001223540927444023
rxn00551	0.029609690444145357
rxn00669	0.9450630123577634
rxn00743	0.0014682491129328276
rxn03167	0.0014682491129328276
rxn01521	0.02875321179493454
rxn00363	0.02875321179493454
rxn00744	0.0017129572984216322
rxn00745	0.0017129572984216322
rxn02866	0.018353113911660345
rxn00868	0.018353113911660345
rxn01923	0.018353113911660345
rxn02270	0.018353113911660345
rxn02268	0.018353113911660345
rxn01924	0.018353113911660345
rxn01126	0.0001223540927444023
rxn01280	0.0001223540927444023
rxn01281	0.0001223540927444023
rxn01285	0.06509237734002202
rxn00160	0.06509237734002202
rxn00778	0.008687140584852563
rxn01986	0.008687140584852563
rxn06036	0.017007218891471918
rxn09174	0.03805212284350912
rxn26434	0.004404747338798483
rxn01150	0.0373179982870427
rxn01289	0.0373179982870427
rxn01633	0.007585953750152943
rxn01635	0.0026917900403768506
rxn02173	0.047718096170316894
rxn01828	0.047718096170316894
rxn19174	0.047718096170316894
rxn01830	0.05016517802520494
rxn01959	0.05016517802520494
rxn00002	0.007830661935641747
rxn09188	0.0014682491129328276
rxn00504	0.0014682491129328276
rxn00503	0.0014682491129328276
rxn00183	0.0014682491129328276
rxn00394	0.01859782209714915
rxn00471	0.007830661935641747
rxn00560	0.0001223540927444023
rxn00930	0.0001223540927444023
rxn02071	0.0001223540927444023
rxn02946	0.0001223540927444023
rxn01636	0.005261225988009299
rxn00192	0.005261225988009299
rxn00469	0.022757861250458828
rxn00802	0.006851829193686529
rxn01019	0.02765202496023492
rxn01434	0.005261225988009299
rxn03087	0.0424568701823076
rxn01637	0.0424568701823076
rxn01917	0.010522451976018598
rxn02465	0.012969533830906644
rxn02925	0.017863697540682736
rxn00656	0.017863697540682736
rxn24212	0.017863697540682736
rxn09400a	0.009421265141318977
rxnTABCcpdBGLCN	0.04306864064602961
rxn13784	0.28068028875565887
rxnBIOMASS	0.09066438272360211
rxn05294	0.0904196745381133
rxn12192	0.6840817325339532
rxn00416p	0.028875565887678943
rxn00011b	0.018353113911660345
rxn03194	0.018353113911660345
rxn02185	0.018353113911660345
rxn00737	0.004037685060565276
rxn00903	0.017741343447938332
rxn01575	0.017741343447938332
rxn00806	0.017741343447938332
rxn00898	0.027529670867490516
rxn03437	0.027529670867490516
rxn00902	0.03841918512174232
rxn03068	0.012969533830906644
rxn01790	0.022757861250458828
rxn03435	0.012969533830906644
rxn02187	0.012969533830906644
rxn03436	0.012969533830906644
rxn02811	0.029487336351400953
rxn02789	0.029487336351400953
rxn03062	0.022757861250458828
rxnCL4	0.003670622782332069
rxnCARN2	0.0001223540927444023
rxn01725	0.0001223540927444023
