reaction	linear_coefficient
rxn01114	1.0
rxn01754a	1.0
rxn01754b	1.0
rxnRbtAb	1.0
rxnRbtAa	1.0
rxn01383	1.0
rxnRbtC	1.0
rxn00278	0.007830661935641747
rxn00283	0.138382478893919
rxn00849	0.05616052856968066
rxn08291	0.10889514254251804
rxn00151	0.13569068885354216
rxn00225	0.06276764957787838
rxn00227	1.0
rxn00551	0.017374281169705127
rxn00669	0.0008564786492108161
rxn00743	0.5372568212406705
rxn03167	0.5372568212406705
rxn01521	0.017986051633427137
rxn00363	0.017986051633427137
rxn00744	0.3775847302092255
rxn00745	0.3775847302092255
rxn02866	0.02814144133121253
rxn00868	0.02814144133121253
rxn01923	0.02814144133121253
rxn02270	0.02814144133121253
rxn02268	0.02814144133121253
rxn01924	0.02814144133121253
rxn01126	1.0
rxn01280	1.0
rxn01281	1.0
rxn01285	0.0070965373791753335
rxn00160	0.0070965373791753335
rxn00778	0.05077694848892696
rxn01986	0.05077694848892696
rxn06036	0.029976752722378562
rxn09174	0.01272482564541784
rxn26434	0.10889514254251804
rxn01150	0.012969533830906644
rxn01289	0.012969533830906644
rxn01633	0.05970879725926832
rxn01635	0.263673069864187
rxn02173	0.009665973326807782
rxn01828	0.009665973326807782
rxn19174	0.009665973326807782
rxn01830	0.008931848770341368
rxn01959	0.008931848770341368
rxn00002	0.05750642358986908
rxn09188	0.5372568212406705
rxn00504	0.5372568212406705
rxn00503	0.5372568212406705
rxn00183	0.5372568212406705
rxn00394	0.027896733145723725
rxn00471	0.05750642358986908
rxn00560	1.0
rxn00930	1.0
rxn02071	1.0
rxn02946	1.0
rxn01636	0.09066438272360211
rxn00192	0.09066438272360211
rxn00469	0.021656674415759206
rxn00802	0.06607121008197724
rxn01019	0.018842530282637954
rxn01434	0.09066438272360211
rxn03087	0.01113422243974061
rxn01637	0.01113422243974061
rxn01917	0.04392511929524043
rxn02465	0.0373179982870427
rxn02925	0.028875565887678943
rxn00656	0.028875565887678943
