	minimum	maximum
rxn00283	0.7828267167226973	1.20434879582559
rxn00151	0.0	307.8157039454696
rxn00551	0.0	72.62013324607544
rxn00394	0.000460486303954528	0.0007084404681326694
rxn00656	-13.955476066351258	-1.5609079265679793e-09
rxn09400a	0.5157446604290339	0.7934533243085977
rxnTABCcpdBGLCN	0.5157446604290339	0.7934533243085977
rxn13784	3.538069768717034	5.443184263486065
rxnBIOMASS	15.349543465149821	23.61468227108922
rxn05294	1.3860637749030291	2.1324058090793563
rxnMMPE	0.8657142514344497	1.3318680800894318
rxnPC	0.03683890431635957	0.05667523745061412
rxnPL	1.8419452158179783	2.833761872530706
rxnPE	0.2762917823726967	0.42506428087960585
rxn12192	77.53668385985782	119.28720602418008
rxn00806	-11.869076999405882	-7.7149000440558275
rxn01208	7.714900044056006	110.32013469454603
rxn02789	7.71490004405598	110.32013469454603
rxn02811	-110.32013469454444	-7.714900026896203
rxn03062	7.714900026896591	110.32013470912523
rxnCL4	0.09209726058606102	0.1416880935205679
rxn00011p	39.46367388963106	326.528933337656
rxn00247	85.21814467190464	327.83976273841506
rxn00330	0.0006139817396381266	145.7050374870145
rxn00336	0.0	145.70442350527594
rxn01241a	39.463673778349204	326.5289333376564
rxn01871	39.463673778349204	326.52893333765644
rxn02342	39.463673778349204	326.5289333376563
rxn01265	-0.0007042495984705965	-0.0004604863049735286
rxn02287	0.00015349543496879231	0.00020642815764967934
rxn02775	0.00015349543496879231	0.00020642815764967932
rxn02897	0.00015349543496879215	0.0002064281576496794
rxn03150	0.00015349543496879202	0.0002064281576496794
rxn03491	0.00015349543496879226	0.0002064281576496793
rxn03492	0.00015349543496879226	0.00020642815764967932
rxn03512	0.00015349543496879234	0.0002064281576496793
rxn03513	0.0001534954349687923	0.00020642815764967934
rxn03514	0.0001534954349687923	0.00020642815764967934
rxn03534	0.0001534954349687923	0.00020642815764967934
rxn03537	0.0001534954349687924	0.0002064281576496794
rxn03538	0.000153495434968792	0.00020642815764967937
rxn03540	0.00015349543496879237	0.00020642815764967934
rxn03975	0.0002302431524531883	0.00030964223647451906
