REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
cpd00014[c0]	UDP_c0	4.6254	1.8696e-06	38	2.1479	1.5514
cpd00067[e0]	H_e0	4.5692	2.4478e-06	62	1.9208	1.1173
cpd00144[c0]	UDPglucuronate_c0	4.2676	9.8777e-06	18	2.4841	1.3696
cpdEPS[c0]	exopolysaccharides_c0	4.1206	1.8892e-05	20	2.3726	1.3829
cpd00026[c0]	UDP-glucose	3.9805	3.4391e-05	22	2.2718	1.3714
cpd02745[c0]	alpha-D-Galactosyl-diphosphoundecaprenol_c0	3.7222	9.8762e-05	17	2.3449	1.5658
cpd15560[c0]	Ubiquinone_8_c0	3.6905	0.00011192	26	2.1109	0.94182
cpd15561[c0]	Ubiquinol_8_c0	3.622	0.00014618	25	2.1093	0.9612
cpd00978[c0]	dUDP_c0	3.371	0.00037453	6	2.9711	0.89205
cpd00061[c0]	Phosphoenolpyruvate_c0	2.8277	0.0023442	31	1.8221	1.6955
cpd11420[c0]	trdox_c0	2.6864	0.0036117	6	2.6018	1.1338
cpd11421[c0]	trdrd_c0	2.6864	0.0036117	6	2.6018	1.1338
cpd00109[c0]	Cytochrome_c3_c0	2.6468	0.0040633	21	1.9167	1.1631
cpd00110[c0]	Cytochrome_c2_c0	2.6468	0.0040633	21	1.9167	1.1631
cpd00791[c0]	ProtoporphyrinogenIX_c0	2.4904	0.0063805	2	3.4712	0.45706
cpd11313[c0]	hemeO_c0	2.4692	0.0067706	2	3.4515	0.24675
cpdLipAcodp2[c0]	oligosaccharide_dephosphorylated_GalA added_c0	2.4204	0.0077507	2	3.406	0.59124
cpd03187[c0]	Oxalosuccinate_c0	2.3932	0.0083521	1	4.3303	0
cpd00169[c0]	3_Phosphoglycerate_c0	2.3665	0.0089789	4	2.712	1.6973
cpd00051[c0]	L_Arginine_c0	2.2201	0.013205	13	1.9663	1.1715
cpd00062[c0]	UTP_c0	2.202	0.013834	6	2.3404	1.0946
cpd00260[c0]	Isocitrate_c0	2.194	0.014119	3	2.8203	1.5055
cpd02820[c0]	UDP-N-acetylglucosamine enolpyruvate_c0	2.1595	0.015405	2	3.1625	0.52926
cpd02229[c0]	Bactoprenyl diphosphate_c0	2.0273	0.021314	4	2.4882	1.5528
cpd24425[e0]	methyl beta-D-xylopyranoside_e0	1.9996	0.022769	3	2.6724	1.3542
cpd00041[c0]	L-Aspartate_c0	1.9906	0.023261	24	1.6885	0.97531
cpd02083[c0]	CoproporphyrinogenIII_c0	1.9898	0.023305	1	3.7944	0
cpd00032[c0]	Oxaloacetate_c0	1.9877	0.023422	7	2.1443	1.2309
cpd11492[c0]	Malonyl_acyl_carrierprotein__c0	1.943	0.026007	7	2.122	0.77318
cpd00982[c0]	FADH2_c0	1.9189	0.027498	33	1.5934	1.1663
cpd00054[c0]	L_Serine_c0	1.91	0.028065	14	1.8275	1.2324
cpd00028[c0]	Heme	1.8853	0.029692	2	2.9066	1.0173
cpd00521[c0]	dTDP-4-oxo-6-deoxy-D-glucose_c0	1.8652	0.031074	2	2.8879	0.70179
cpd00054[e0]	L-Serine_e0	1.8503	0.032133	6	2.1507	0.83391
cpd00281[e0]	GABA_e0	1.8503	0.032133	6	2.1507	0.83391
cpd00203[c0]	1_3_Bisphospho_D_glycerate_c0	1.8402	0.032866	2	2.8645	2.217
cpd00154[c0]	Xylose_c0	1.8349	0.033263	8	2.0083	1.3057
cpd00015[c0]	FAD_c0	1.8159	0.034694	34	1.5633	1.1619
cpd00149[e0]	Co2+_e0	1.815	0.034762	1	3.5621	0
cpd00106[c0]	Fumarate_c0	1.8069	0.035387	12	1.8433	1.1359
cpd00900[c0]	GDP-4-dehydro-alpha-D-rhamnose_c0	1.798	0.036092	2	2.8251	0.23813
cpd00290[c0]	D_fructose_1_6_bisphosphate_c0	1.7386	0.041053	5	2.1792	1.6346
cpd00149[c0]	Co2+_c0	1.7376	0.041142	5	2.1786	1.6054
cpd00096[c0]	CDP_c0	1.737	0.041194	3	2.4726	1.4206
cpd00533[c0]	dCDP_c0	1.737	0.041194	3	2.4726	1.4206
cpd00035[e0]	L-Alanine_e0	1.7356	0.041321	11	1.8412	0.78351
cpd00132[e0]	L-Asparagine_e0	1.7356	0.041321	11	1.8412	0.78351
cpd02152[c0]	L_Argininosuccinate_c0	1.7082	0.043798	3	2.4507	2.386
cpd02201[c0]	4-phosphopantothenate_c0	1.6953	0.045014	2	2.7292	3.0995
cpd00218[c0]	Niacin_c0	1.695	0.045035	2	2.729	0.10981
cpd00066[c0]	L_Phenylalanine_c0	1.6933	0.045199	13	1.7735	0.87822
cpd00346[c0]	L_Aspartate4_semialdehyde_c0	1.6871	0.045792	4	2.2637	0.55803
cpd00773[c0]	UDP-MurNAc_c0	1.6828	0.046208	2	2.7176	0.09989
cpd02569[c0]	2_Oxo_3_hydroxyisovalerate_c0	1.6822	0.04626	1	3.3857	0
cpd10162[c0]	R_3_Hydroxy_3_methyl_2_oxopentanoate_c0	1.6822	0.04626	1	3.3857	0
cpd02826[c0]	5'-Phosphoribosylformylglycinamidine_c0	1.6655	0.047906	2	2.7015	0.43548
cpd00227[c0]	L_Homoserine_c0	1.6604	0.048416	7	1.9808	1.0674
cpd03584[c0]	UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine_c0	1.6371	0.050807	2	2.6749	0.31171
cpd00039[c0]	L_Lysine_c0	1.6359	0.050929	11	1.8016	0.77647
cpd11493[c0]	ACP_c0	1.6358	0.050939	18	1.6632	1.0714
cpd01476[c0]	Protoporphyrin_c0	1.6293	0.051629	2	2.6676	0.67935
cpd00065[c0]	L_Tryptophan_c0	1.6164	0.053005	12	1.7705	0.92866
cpdNFIM8[c0]	Malonyl-NodF_c0	1.6153	0.053124	3	2.3799	1.1748
cpd11312[c0]	hemeA_c0	1.6004	0.054754	1	3.277	0
cpd00522[c0]	dTDP-4-oxo-L-rhamnose_c0	1.59	0.055918	2	2.631	1.065
cpd00177[c0]	dADP_c0	1.5855	0.056431	4	2.1966	1.5748
cpd23713[c0]	L-2_4-diketo-3-deoxyrhamnonate_c0	1.5852	0.056456	2	2.6266	2.3517
cpd00052[c0]	CTP_c0	1.5804	0.057011	8	1.8897	1.174
cpd00496[c0]	D-arabinono-1_4-lactone_c0	1.5703	0.058175	2	2.6126	0.39732
cpd00819[c0]	L-Arabinono-1_4-lactone_c0	1.5703	0.058175	2	2.6126	0.39732
cpd00107[c0]	L_Leucine_c0	1.5676	0.058493	12	1.7518	0.75713
cpd00156[c0]	L_Valine_c0	1.5676	0.058493	12	1.7518	0.75713
cpd00322[c0]	L_Isoleucine_c0	1.5676	0.058493	12	1.7518	0.75713
cpd00117[c0]	D-Alanine_c0	1.5641	0.058895	14	1.7054	0.75173
cpd11470[c0]	Octanoyl-ACP_c0	1.5636	0.058953	4	2.1822	0.093112
cpd00023[e0]	L-Glutamate_e0	1.56	0.05938	10	1.8088	0.81809
cpd00033[e0]	Glycine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00039[e0]	L-Lysine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00051[e0]	L-Arginine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00053[e0]	L_Glutamine_c0	1.56	0.05938	10	1.8088	0.81809
cpd00060[e0]	L-Methionine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00064[e0]	Ornithine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00065[e0]	L_Tryptophan_e0	1.56	0.05938	10	1.8088	0.81809
cpd00066[e0]	L-Phenylalanine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00069[e0]	L-Tyrosine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00084[e0]	L-Cysteine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00107[e0]	L-Leucine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00117[e0]	D-Alanine_e0	1.56	0.05938	10	1.8088	0.81809
cpd00119[e0]	L-Histidine_e0	1.56	0.05938	10	1.8088	0.81809
