REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
cpd11492[c0]	Malonyl_acyl_carrierprotein__c0	3.2148	0.00065261	7	3.2704	1.078
cpdEPS[c0]	exopolysaccharides_c0	3.084	0.0010212	20	2.5525	0.94718
cpd00144[c0]	UDPglucuronate_c0	2.9829	0.0014278	18	2.5737	0.99766
cpd15561[c0]	Ubiquinol_8_c0	2.7743	0.0027659	25	2.3711	0.95693
cpd00281[c0]	GABA_c0	2.7635	0.0028593	9	2.87	1.5676
cpd00054[e0]	L-Serine_e0	2.7145	0.0033192	6	3.1214	0.97847
cpd00281[e0]	GABA_e0	2.7145	0.0033192	6	3.1214	0.97847
cpd15560[c0]	Ubiquinone_8_c0	2.6922	0.0035494	26	2.3358	0.95466
cpd00067[e0]	H_e0	2.6826	0.0036523	62	2.0782	1.0994
cpd00107[c0]	L_Leucine_c0	2.6781	0.0037025	12	2.6687	1.0754
cpd00156[c0]	L_Valine_c0	2.6781	0.0037025	12	2.6687	1.0754
cpd00322[c0]	L_Isoleucine_c0	2.6781	0.0037025	12	2.6687	1.0754
cpd11464[c0]	Butyryl-ACP_c0	2.6559	0.003955	3	3.7062	1.2199
cpd11466[c0]	Myristoyl-ACP_c0	2.6559	0.003955	3	3.7062	1.2199
cpd11468[c0]	Dodecanoyl-ACP_c0	2.6559	0.003955	3	3.7062	1.2199
cpd11472[c0]	Hexanoyl-ACP_c0	2.6559	0.003955	3	3.7062	1.2199
cpd11474[c0]	Decanoyl-ACP_c0	2.6559	0.003955	3	3.7062	1.2199
cpdUS8[c0]	cis-delta-7-tetradecenoyl-ACP_c0	2.6559	0.003955	3	3.7062	1.2199
cpd00242[c0]	H2CO3_c0	2.654	0.0039771	16	2.5144	1.2223
cpd00039[c0]	L_Lysine_c0	2.6444	0.004092	11	2.7004	1.0461
cpd00022[c0]	Acetyl_CoA_c0	2.5712	0.005068	46	2.1311	1.1855
cpdLipAcodp1[c0]	oligosaccharide_dephosphorylated_c0	2.5282	0.0057325	3	3.6058	1.5685
cpd02745[c0]	alpha-D-Galactosyl-diphosphoundecaprenol_c0	2.5266	0.0057585	17	2.4472	1.0933
cpd01293[c0]	5-Oxoproline_c0	2.5262	0.0057648	12	2.6089	1.0837
cpd11485[c0]	3-oxohexadecanoyl-acp_c0	2.5259	0.0057695	3	3.604	1.3608
cpd11486[c0]	3-Oxohexanoyl-[acp]_c0	2.5259	0.0057695	3	3.604	1.3608
cpd11487[c0]	3-oxodecanoyl-acp_c0	2.5259	0.0057695	3	3.604	1.3608
cpd11489[c0]	3-oxododecanoyl-acp_c0	2.5259	0.0057695	3	3.604	1.3608
cpd11490[c0]	3-oxooctanoyl-acp_c0	2.5259	0.0057695	3	3.604	1.3608
cpd11491[c0]	3-oxotetradecanoyl-acp_c0	2.5259	0.0057695	3	3.604	1.3608
cpd11570[c0]	3-Oxooctodecanoyl-ACP_c0	2.5259	0.0057695	3	3.604	1.3608
cpdUS5[c0]	3-oxo-cis-delta-7-tetradecenoyl-ACP_c0	2.5259	0.0057695	3	3.604	1.3608
cpdUS9[c0]	3-oxo-cis-delta-9-hexadecenoyl-ACP_c0	2.5259	0.0057695	3	3.604	1.3608
cpd00041[e0]	L-Aspartate_e0	2.4384	0.0073761	13	2.5343	0.97677
cpd00026[c0]	UDP-glucose	2.404	0.0081076	22	2.3123	1.2019
cpd00023[e0]	L-Glutamate_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00033[e0]	Glycine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00039[e0]	L-Lysine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00051[e0]	L-Arginine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00053[e0]	L_Glutamine_c0	2.3851	0.0085373	10	2.6447	1.0853
cpd00060[e0]	L-Methionine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00064[e0]	Ornithine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00065[e0]	L_Tryptophan_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00066[e0]	L-Phenylalanine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00069[e0]	L-Tyrosine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00084[e0]	L-Cysteine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00107[e0]	L-Leucine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00117[e0]	D-Alanine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00119[e0]	L-Histidine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00129[e0]	L-Proline_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00156[e0]	L-Valine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00161[e0]	L-Threonine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00322[e0]	L-Isoleucine_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd01293[e0]	5-Oxoproline_e0	2.3851	0.0085373	10	2.6447	1.0853
cpd00161[c0]	L_Threonine_c0	2.3612	0.009107	15	2.4441	1.7485
cpd12489[c0]	cis-3-Decenoyl-ACP_c0	2.3399	0.0096456	2	3.8638	1.6451
cpdLPS2[c0]	3-acetimidoylamino-3-deoxy-d-gluco-hexuronic acid_c0	2.3334	0.0098148	7	2.8168	0.76026
