REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
cpdLipAcodp2[c0]	oligosaccharide_dephosphorylated_GalA added_c0	3.6226	0.00014584	2	4.1544	0.12852
cpd00067[e0]	H_e0	3.5702	0.00017838	62	1.43	1.0692
cpd03187[c0]	Oxalosuccinate_c0	3.2384	0.000601	1	5.0547	0
cpd15561[c0]	Ubiquinol_8_c0	2.9127	0.0017913	25	1.5967	0.9777
cpd15560[c0]	Ubiquinone_8_c0	2.891	0.0019201	26	1.5779	0.96272
cpd00014[c0]	UDP_c0	2.7506	0.0029746	38	1.4221	1.2129
cpd00260[c0]	Isocitrate_c0	2.7254	0.0032114	3	2.8867	1.9886
cpd00154[c0]	Xylose_c0	2.6643	0.003858	8	2.0669	0.52488
cpd00154[e0]	Xylose_e0	2.6437	0.0041008	6	2.2403	0.47281
cpd00185[c0]	D-arabinose_c0	2.4691	0.0067728	5	2.2754	1.2785
cpdLPS2[c0]	3-acetimidoylamino-3-deoxy-d-gluco-hexuronic acid_c0	2.4497	0.0071487	7	2.0441	0.61979
cpd01715[c0]	3-dehydrocarnitine_c0	2.3647	0.0090228	2	3.0044	1.7407
cpdBETCoA[c0]	Betainyl-CoA_c0	2.3647	0.0090228	2	3.0044	1.7407
cpdLipAcodp3[c0]	oligosaccharide_dephosphorylated_GalA added_oxidised_c0	2.3548	0.0092671	2	2.9954	1.5106
cpd02968[c0]	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine_c0	2.3244	0.010053	2	2.9676	2.1922
cpd00286[c0]	Undecaprenylphosphate_c0	2.2744	0.01147	3	2.548	1.7118
cpd11492a[c0]	Malonyl_acyl_carrier_protein_XL_c0	2.2331	0.012772	4	2.2906	1.3767
cpd00061[c0]	Phosphoenolpyruvate_c0	2.2327	0.012783	31	1.3635	0.87602
cpd00477[c0]	N_Acetyl_L_glutamate_c0	2.2117	0.013495	2	2.8645	2.2483
cpd02069[c0]	3_Phosphonooxypyruvate_c0	2.1683	0.015068	3	2.4682	0.52994
cpdEPS[c0]	exopolysaccharides_c0	2.1242	0.016828	20	1.4587	0.72499
cpd00177[c0]	dADP_c0	2.0833	0.018612	4	2.1932	0.92064
cpd00158[c0]	CELB_c0	2.0756	0.018964	6	1.9402	1.9556
cpd05158[c0]	Gentiobiose_c0	2.0756	0.018964	6	1.9402	1.9556
cpd11603[c0]	beta-methylglucoside_c0	2.0756	0.018964	6	1.9402	1.9556
cpd02843[c0]	D_erythro_imidazol_glycerol_phosphate_c0	2.0631	0.019553	3	2.3892	1.8623
cpd00144[c0]	UDPglucuronate_c0	2.0611	0.019646	18	1.474	0.94354
cpd11467[c0]	(2E)-Tetradecenoyl-[acp]_c0	2.0204	0.021673	3	2.3571	0.75272
cpd11469[c0]	(2E)-Dodecenoyl-[acp]_c0	2.0204	0.021673	3	2.3571	0.75272
cpd11471[c0]	(2E)-Octenoyl-[acp]_c0	2.0204	0.021673	3	2.3571	0.75272
cpd11473[c0]	(2E)-Hexenoyl-[acp]_c0	2.0204	0.021673	3	2.3571	0.75272
cpd11475[c0]	2E_Decenoyl_acp_c0	2.0204	0.021673	3	2.3571	0.75272
cpd11477[c0]	(2E)-Hexadecenoyl-[acp]_c0	2.0204	0.021673	3	2.3571	0.75272
cpd11572[c0]	trans-Octodec-2-enoyl-ACP_c0	2.0204	0.021673	3	2.3571	0.75272
cpd02569[c0]	2_Oxo_3_hydroxyisovalerate_c0	2.0057	0.022445	1	3.4508	0
cpd10162[c0]	R_3_Hydroxy_3_methyl_2_oxopentanoate_c0	2.0057	0.022445	1	3.4508	0
cpd00900[c0]	GDP-4-dehydro-alpha-D-rhamnose_c0	2.0026	0.022608	2	2.6734	0.5179
cpd00091[c0]	UMP_c0	1.9991	0.022799	10	1.6626	1.8784
cpd00295[c0]	dGDP_c0	1.9824	0.023716	3	2.3286	1.0777
cpd00103[c0]	PRPP_c0	1.947	0.025766	12	1.5717	1.4573
cpd00345[c0]	5_Methyltetrahydrofolate_c0	1.9169	0.027626	2	2.595	0.72509
cpd00089[c0]	Glucose_1_phosphate_c0	1.9166	0.027646	7	1.7826	1.8022
cpd00185[e0]	D-arabinose_e0	1.9081	0.028191	3	2.2727	0.35159
cpd00224[e0]	L-Arabinose_e0	1.9081	0.028191	3	2.2727	0.35159
cpd02745[c0]	alpha-D-Galactosyl-diphosphoundecaprenol_c0	1.9062	0.028311	17	1.4422	0.72647
cpd00126[c0]	GMP_c0	1.9048	0.028403	8	1.7188	1.1686
cpd00415[c0]	Quinol_c0	1.9018	0.0286	1	3.3156	0
cpd01553[c0]	Saligenin_c0	1.9018	0.0286	1	3.3156	0
cpd00382[e0]	Melitose_e0	1.889	0.029446	7	1.769	1.0363
cpd03198[e0]	Melibiose_e0	1.889	0.029446	7	1.769	1.0363
cpd11492[c0]	Malonyl_acyl_carrierprotein__c0	1.8856	0.029677	7	1.7673	0.95554
cpd00116[c0]	Methanol_c0	1.8587	0.031533	5	1.9217	2.0197
cpd00058[c0]	Cu2+_c0	1.8502	0.032142	3	2.2292	1.9321
cpd00058[e0]	Cu2+_e0	1.8502	0.032142	3	2.2292	1.9321
cpd01030[c0]	Salicin_c0	1.8494	0.032197	5	1.9163	2.1855
cpd03696[c0]	Ursin_c0	1.8494	0.032197	5	1.9163	2.1855
cpd24425[e0]	methyl beta-D-xylopyranoside_e0	1.8217	0.034249	3	2.2078	0.65735
cpd02498[c0]	2_3_Dihydroxy_isovalerate_c0	1.7942	0.036388	2	2.4829	1.3688
cpd02535[c0]	2_3_Dihydroxy_3_methylvalerate_c0	1.7942	0.036388	2	2.4829	1.3688
cpd24425[c0]	methyl beta-D-xylopyranoside_c0	1.7703	0.038338	4	1.9898	0.69156
cpd11479[c0]	D-3-Hydroxyhexanoyl-[acp]_c0	1.7646	0.038814	3	2.1649	1.0361
cpd11480[c0]	D-3-Hydroxydodecanoyl-[acp]_c0	1.7646	0.038814	3	2.1649	1.0361
cpd11481[c0]	R-3-hydroxypalmitoyl-acyl-carrierprotein-_c0	1.7646	0.038814	3	2.1649	1.0361
cpd11482[c0]	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]_c0	1.7646	0.038814	3	2.1649	1.0361
cpd11483[c0]	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]_c0	1.7646	0.038814	3	2.1649	1.0361
