reaction	linear_coefficient
rxn01114	0.0015873015873015873
rxn01754b	0.0015873015873015873
rxn01754a	0.0015873015873015873
rxnRbtAb	0.0015873015873015873
rxn01383	0.0015873015873015873
rxnRbtAa	0.0015873015873015873
rxnRbtC	0.0015873015873015873
rxn00278	0.12433862433333334
rxn00283	0.015343915344444443
rxn00849	0.006878306877777778
rxn08291	0.0015873015873015873
rxn00151	0.007936507936507936
rxn00225	0.0015873015873015873
rxn00227	0.020634920634920634
rxn00551	0.03915343915873016
rxn00669	0.0015873015873015873
rxn00743	0.0015873015873015873
rxn03167	0.0015873015873015873
rxn01521	0.08148148147619048
rxn00363	0.08148148147619048
rxn00744	0.022222222222222223
rxn00745	0.022222222222222223
rxn02866	0.10582010582539682
rxn00868	0.10582010582539682
rxn02268	0.10582010582539682
rxn02270	0.10582010582539682
rxn01923	0.10582010582539682
rxn01924	0.10582010582539682
rxn01126	0.0015873015873015873
rxn01281	0.0015873015873015873
rxn01280	0.0015873015873015873
rxn00160	0.10423280423809524
rxn01285	0.02010582011111111
rxn01986	0.0015873015873015873
rxn00778	0.0015873015873015873
rxn06036	0.02910052909523809
rxn09174	0.0015873015873015873
rxn26434	0.007407407407936507
rxn01289	0.05502645503174603
rxn01150	0.05502645503174603
rxn01633	0.031216931222222223
rxn01635	0.17089947095238095
rxn19174	0.08994708995238095
rxn02173	0.08994708995238095
rxn01828	0.08994708995238095
rxn01959	0.03968253968253968
rxn01830	0.03968253968253968
rxn00002	0.0015873015873015873
rxn00504	0.0015873015873015873
rxn00183	0.0015873015873015873
rxn09188	0.0015873015873015873
rxn00503	0.0015873015873015873
rxn00394	0.032275132269841265
rxn00471	0.006878306877777778
rxn00560	0.0015873015873015873
rxn00930	0.0015873015873015873
rxn02071	0.0015873015873015873
rxn02946	0.0015873015873015873
rxn01636	0.03068783068253968
rxn00192	0.03068783068253968
rxn00469	0.03597883598412699
rxn00802	0.009523809523809525
rxn01019	0.04338624338095238
rxn01434	0.03492063492063492
rxn01637	0.04126984126984127
rxn03087	0.04126984126984127
rxn01917	0.026455026460317457
rxn02465	0.06613756614285714
rxn02925	0.05767195766666667
rxn24212	0.05767195766666667
rxn00656	0.05767195766666667
rxn09400a	0.03544973544444444
rxnTABCcpdBGLCN	0.7698412698412699
rxn13784	0.3333333333333333
rxnBIOMASS	0.4391534392063492
rxn05294	0.10476190476190476
rxn12192	1.0
rxn00416p	0.03280423280952381
rxn03194	0.12010582011111111
rxn00011b	0.12010582011111111
rxn02185	0.12010582011111111
rxn00737	0.0015873015873015873
rxn00806	0.03333333333333333
rxn00903	0.03333333333333333
rxn01575	0.03333333333333333
rxn00898	0.08994708995238095
rxn03437	0.08994708995238095
rxn00902	0.045502645507936514
rxn02187	0.08148148147619048
rxn03435	0.08148148147619048
rxn01790	0.08148148147619048
rxn03436	0.08148148147619048
rxn03068	0.08148148147619048
rxn02811	0.1349206349206349
rxn02789	0.1349206349206349
rxn03062	0.051851851857142854
rxnCL4	0.015343915344444443
rxnCARN2	0.0015873015873015873
rxn01725	0.0015873015873015873
rxnCARN1	0.0015873015873015873
rxn02342	0.1719576719047619
rxn00011p	0.1719576719047619
rxn00159	0.006349206349206349
rxn00161	0.03333333333333333
rxn00247	0.33862433857142854
rxn00250	0.03492063492063492
rxn00330	0.03703703703174603
rxn00336	0.5513227512698412
rxn00747	0.007936507936507936
rxn00784	0.047089947095238095
rxn01123	0.022222222222222223
rxn06493	0.06931216931746031
rxn01241a	0.05238095238095238
rxn01871	0.0962962963015873
rxn01265	0.01693121693174603
rxn02287	0.06825396825396825
rxn02775	0.0015873015873015873
rxn02897	0.008465608465079365
rxn03537	0.008465608465079365
rxn03150	0.02857142857142857
rxn04385	0.02857142857142857
rxn03491	0.010582010582539682
rxn03492	0.006878306877777778
rxn03512	0.007407407407936507
rxn03513	0.009523809523809525
rxn03514	0.006349206349206349
rxn03534	0.0015873015873015873
rxn03538	0.0015873015873015873
rxn03540	0.006878306877777778
rxn03975	0.006878306877777778
rxn04384	0.09047619047619047
rxn10476	0.05502645503174603
rxn11544	0.017989417984126985
rxn11545	0.0015873015873015873
rxn25134b	0.0015873015873015873
rxn47890	0.0015873015873015873
rxn00056	0.13227513226984128
rxn00719	0.19629629634920634
rxn01028	0.16560846555555556
rxn07582	0.0582010582063492
rxnLIPOCT	0.0761904761904762
rxn00423	0.14232804233333332
rxn00566	0.016402116401587303
rxn00623	0.07777777777777778
rxn00649	0.062433862428571435
rxn05239	0.10582010582539682
rxn05256	0.10582010582539682
rxn05239b	0.10582010582539682
rxn00137	0.04285714285714286
rxn09240	0.08253968253968254
rxn00361	0.08253968253968254
rxn00379	0.08253968253968254
rxn00650	0.02857142857142857
rxn00020	0.0015873015873015873
rxn00020s	0.0015873015873015873
rxn09979	0.0015873015873015873
rxn21111	0.0015873015873015873
rxn00020a	0.0015873015873015873
rxn00020m	0.04126984126984127
rxn00575	0.026984126984126985
rxn00022t	0.026984126984126985
rxn05746	0.026984126984126985
rxn00022	0.026984126984126985
rxn00816b	0.01746031746031746
rxn44900	0.01746031746031746
rxn00816	0.01746031746031746
rxn44030	0.01746031746031746
rxn00816c	0.01746031746031746
rxn02596	0.01957671957142857
rxn00817	0.01957671957142857
rxn00818	0.01957671957142857
rxn01134	0.01746031746031746
rxn01737	0.043915343920634925
rxnTRE1	0.01693121693174603
rxnLACT1	0.01693121693174603
rxnPAL1	0.01693121693174603
rxn01119	0.01693121693174603
rxnEPS	0.0761904761904762
rxnTABCcpsEPS	0.14814814814285715
rxnFAD17	0.0380952380952381
rxnFAD9	0.0380952380952381
rxnFAD21	0.0380952380952381
rxnFAD1	0.0380952380952381
rxnFAD13	0.0380952380952381
rxnFAD5	0.0380952380952381
rxn00872	0.0380952380952381
rxn00947	0.05555555555555555
rxn03245	0.018518518523809525
rxn03247	0.018518518523809525
rxn02911	0.018518518523809525
rxn02949	0.03862433861904762
rxn03240	0.018518518523809525
rxn03250	0.018518518523809525
rxn02934	0.03862433861904762
rxn02167	0.018518518523809525
rxn03241	0.018518518523809525
rxn01504	0.010052910052380952
rxn00672	0.018518518523809525
rxnFAD15	0.03915343915873016
rxnFAD3	0.03915343915873016
rxnFAD27	0.03915343915873016
rxnFAD19	0.03915343915873016
rxnFAD11	0.03915343915873016
rxnFAD23	0.03915343915873016
rxnFAD7	0.03915343915873016
rxn00676	0.18201058206349205
rxnFAD4	0.03650793650793651
rxnFAD12	0.03650793650793651
rxnFAD20	0.03650793650793651
rxnFAD24	0.03650793650793651
rxnFAD16	0.03650793650793651
rxnFAD8	0.03650793650793651
rxn03421	0.14021164020634921
rxn00302	0.14021164020634921
rxn03419	0.14021164020634921
rxn03174	0.14021164020634921
rxn01013	0.06772486773015873
rxn00324	0.007407407407936507
rxn01011	0.06772486773015873
rxn00333	0.014285714285714285
rxn01602	0.007407407407936507
rxn00686	0.007407407407936507
rxn00690	0.0015873015873015873
rxn01211	0.031216931222222223
rxn01211b	0.031216931222222223
rxn00907b	0.031216931222222223
rxn00907	0.031216931222222223
rxn00910	0.08095238095238096
rxn01257b	0.007407407407936507
rxn01603	0.046031746031746035
rxn02201	0.023280423285714284
rxn02503	0.010582010582539682
rxn02504	0.045502645507936514
rxn03841	0.03280423280952381
rxn00083	0.0402116402063492
rxn00371	0.31640211634920634
rxn02617	0.0015873015873015873
rxn14044	0.02010582011111111
rxn22386	0.05343915344444444
rxn40431	0.0015873015873015873
rxn40432	0.050793650793650794
rxn00508	0.047089947095238095
rxn01204	0.010582010582539682
rxn00783	0.0015873015873015873
rxn00812	0.04179894179365079
rxn02174	0.06666666666666667
rxn02429	0.0015873015873015873
rxn00605	0.022222222222222223
rxn02004	0.15079365079365079
rxn00186	0.0015873015873015873
rxn00189	0.0015873015873015873
rxn00193	0.0015873015873015873
rxn05951	0.05132275131746032
rxn02339	0.05132275131746032
rxn05036	0.1037037036984127
rxn00527	0.1037037036984127
rxn00085	0.05026455026984127
rxn00187	0.7640211639682539
rxn00086	0.03333333333333333
rxn00350	0.05502645503174603
rxn00351	0.04338624338095238
