reaction	linear_coefficient
rxn01754b	1.0
rxn01754a	1.0
rxn01114	1.0
rxnRbtAa	1.0
rxn01383	1.0
rxnRbtAb	1.0
rxnRbtC	1.0
rxn00278	0.03544973544444444
rxn00283	0.3111111111111111
rxn00849	0.7698412698412699
rxn08291	1.0
rxn00151	0.7211640211111111
rxn00225	1.0
rxn00227	0.2222222222222222
rxn00551	0.11534391534920635
rxn00669	1.0
rxn00743	1.0
rxn03167	1.0
rxn00363	0.05767195766666667
rxn01521	0.05767195766666667
rxn00744	0.2015873015873016
rxn00745	0.2015873015873016
rxn00868	0.04338624338095238
rxn02866	0.04338624338095238
rxn01924	0.04338624338095238
rxn02270	0.04338624338095238
rxn02268	0.04338624338095238
rxn01923	0.04338624338095238
rxn01126	1.0
rxn01280	1.0
rxn01281	1.0
rxn00160	0.04497354496825397
rxn01285	0.22328042333333334
rxn00778	1.0
rxn01986	1.0
rxn06036	0.15079365079365079
rxn09174	1.0
rxn26434	0.7640211639682539
rxn01289	0.08571428571428572
rxn01150	0.08571428571428572
rxn01633	0.1455026455079365
rxn01635	0.025925925920634925
rxn19174	0.051851851857142854
rxn01828	0.051851851857142854
rxn02173	0.051851851857142854
rxn01959	0.11375661376190475
rxn01830	0.11375661376190475
rxn00002	1.0
rxn00183	1.0
rxn00503	1.0
rxn09188	1.0
rxn00504	1.0
rxn00394	0.14021164020634921
rxn00471	0.7698412698412699
rxn00560	1.0
rxn00930	1.0
rxn02946	1.0
rxn02071	1.0
rxn00192	0.14603174603174604
rxn01636	0.14603174603174604
rxn00469	0.12328042328571429
rxn00802	0.4391534392063492
rxn01019	0.10582010582539682
rxn01434	0.13121693122222222
rxn01637	0.11005291004761905
rxn03087	0.11005291004761905
rxn01917	0.17037037031746033
rxn02465	0.07037037036507937
rxn02925	0.08148148147619048
rxn24212	0.08148148147619048
rxn00656	0.08148148147619048
rxn09400a	0.12433862433333334
rxnTABCcpdBGLCN	0.006878306877777778
rxn13784	0.013227513226984126
rxnBIOMASS	0.009523809523809525
rxn05294	0.044444444444444446
rxn12192	0.0015873015873015873
rxn00416p	0.13968253968253969
rxn02185	0.03703703703174603
rxn00011b	0.03703703703174603
rxn03194	0.03703703703174603
rxn00737	1.0
rxn00903	0.1349206349206349
rxn01575	0.1349206349206349
rxn00806	0.1349206349206349
rxn03437	0.051851851857142854
rxn00898	0.051851851857142854
rxn00902	0.1037037036984127
rxn01790	0.05767195766666667
rxn03068	0.05767195766666667
rxn02187	0.05767195766666667
rxn03436	0.05767195766666667
rxn03435	0.05767195766666667
rxn02811	0.03333333333333333
rxn02789	0.03333333333333333
rxn03062	0.08994708995238095
rxnCL4	0.3111111111111111
rxn01725	1.0
rxnCARN2	1.0
rxnCARN1	1.0
rxn00011p	0.024867724873015872
rxn02342	0.024867724873015872
rxn00159	0.8592592592063493
rxn00161	0.1349206349206349
rxn00247	0.011640211639682539
rxn00250	0.13121693122222222
rxn00330	0.12010582011111111
rxn00336	0.008994708995238096
rxn00747	0.7211640211111111
rxn00784	0.1
rxn01123	0.2015873015873016
rxn01241a	0.08941798941269842
rxn06493	0.06666666666666667
rxn01871	0.049735449730158726
rxn01265	0.2772486773015873
rxn02287	0.06825396825396825
rxn02775	1.0
rxn02897	0.6582010582539682
rxn03537	0.6582010582539682
rxn03150	0.15396825396825398
rxn04385	0.15396825396825398
rxn03491	0.4354497353968254
rxn03492	0.7698412698412699
rxn03512	0.7640211639682539
rxn03513	0.4391534392063492
rxn03514	0.8592592592063493
rxn03534	1.0
rxn03538	1.0
rxn03540	0.7698412698412699
rxn03975	0.7698412698412699
rxn04384	0.05132275131746032
rxn10476	0.08571428571428572
rxn11544	0.264021163968254
rxn11545	1.0
rxn25134b	1.0
rxn47890	1.0
rxn00056	0.0343915343968254
rxn00719	0.022751322746031748
rxn01028	0.027513227507936507
rxn07582	0.08095238095238096
rxnLIPOCT	0.060846560841269846
rxn00423	0.031746031746031744
rxn00566	0.28783068777777776
rxn00623	0.06031746031746032
rxn00649	0.07407407407936507
rxn05256	0.04338624338095238
rxn05239b	0.04338624338095238
rxn05239	0.04338624338095238
rxn00137	0.10687830687301587
rxn00361	0.05661375661904761
rxn09240	0.05661375661904761
rxn00379	0.05661375661904761
rxn00650	0.15396825396825398
rxn21111	1.0
rxn00020s	1.0
rxn09979	1.0
rxn00020a	1.0
rxn00020	1.0
rxn00020m	0.11005291004761905
rxn00022t	0.16825396825396827
rxn00022	0.16825396825396827
rxn00575	0.16825396825396827
rxn05746	0.16825396825396827
rxn00816c	0.2661375661904762
rxn44030	0.2661375661904762
rxn00816	0.2661375661904762
rxn00816b	0.2661375661904762
rxn44900	0.2661375661904762
rxn02596	0.2407407407936508
rxn00817	0.2407407407936508
rxn00818	0.2407407407936508
rxn01134	0.2661375661904762
rxn01737	0.10529100528571429
rxnTRE1	0.2772486773015873
rxnLACT1	0.2772486773015873
rxnPAL1	0.2772486773015873
rxn01119	0.2772486773015873
rxnEPS	0.060846560841269846
rxnTABCcpsEPS	0.029629629634920638
rxnFAD21	0.11746031746031746
rxn00872	0.11746031746031746
rxnFAD9	0.11746031746031746
rxnFAD5	0.11746031746031746
rxnFAD17	0.11746031746031746
rxnFAD13	0.11746031746031746
rxnFAD1	0.11746031746031746
rxn00947	0.08412698412698413
rxn03250	0.2619047619047619
rxn02911	0.2619047619047619
rxn02167	0.2619047619047619
rxn03247	0.2619047619047619
rxn03241	0.2619047619047619
rxn02934	0.11587301587301588
rxn02949	0.11587301587301588
rxn03240	0.2619047619047619
rxn03245	0.2619047619047619
rxn01504	0.437037036984127
